Барщевский Михаил Юрьевич	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012564	27.12.1955	Всероссийская политическая партия «Гражданская Сила»	Общая часть списка	1	выдвинут	зарегистрирован
Рявкин Александр Юрьевич	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012565	18.02.1976	Всероссийская политическая партия «Гражданская Сила»	Общая часть списка	2	выдвинут	зарегистрирован
Похмелкин Виктор Валерьевич	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012566	03.02.1960	Всероссийская политическая партия «Гражданская Сила»	Общая часть списка	3	выдвинут	зарегистрирован
Макеев Владимир Михайлович	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012567	30.10.1951	Всероссийская политическая партия «Гражданская Сила»	1Республика Адыгея (Адыгея)	1	выдвинут	зарегистрирован
Доронина Валерия Владимировна	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012568	12.03.1978	Всероссийская политическая партия «Гражданская Сила»	1Республика Адыгея (Адыгея)	2	выдвинут	зарегистрирован
Гайдарева Инна Николаевна	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012569	02.10.1968	Всероссийская политическая партия «Гражданская Сила»	1Республика Адыгея (Адыгея)	3	выдвинут	зарегистрирован
Шумилов Валерий Дмитриевич	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012570	04.08.1952	Всероссийская политическая партия «Гражданская Сила»	2Республика Алтай	1	выдвинут	зарегистрирован
Молокин Владимир Сергеевич	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012571	06.01.1955	Всероссийская политическая партия «Гражданская Сила»	3Республика Башкортостан - Бирская, Республика Башкортостан - Уфимская	1	выдвинут	зарегистрирован
Скрындица Альфия Фагимовна	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012572	10.04.1955	Всероссийская политическая партия «Гражданская Сила»	3Республика Башкортостан - Бирская, Республика Башкортостан - Уфимская	2	выдвинут	зарегистрирован
Лисицын Александр Витальевич	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012573	15.07.1965	Всероссийская политическая партия «Гражданская Сила»	3Республика Башкортостан - Бирская, Республика Башкортостан - Уфимская	3	выдвинут	зарегистрирован
Маврин Василий Васильевич	http://www.vybory.izbirkom.ru/region/region/izbirkom?action=show&root=1&tvd=100100021960181&vrn=100100021960181&region=0&global=1&sub_region=0&prver=0&pronetvd=null&type=341&vibid=100100022012574	08.09.1948	Всероссийская политическая партия «Гражданская Сила»	4Республика Башкортостан - Салаватская, Республика Башкортостан - Стерлитамакская	1	выдвинут	зарегистрирован
