Общая часть списка	Общая часть списка	
1Республика Адыгея (Адыгея)	Республика Адыгея (Адыгея)	1
1Республика Адыгея (Адыгея)	Республика Адыгея (Адыгея)	1
1Республика Адыгея (Адыгея)	Республика Адыгея (Адыгея)	1
1Республика Адыгея (Адыгея)	Республика Адыгея (Адыгея)	1
2Республика Алтай	Республика Алтай	2
2Республика Алтай	Республика Алтай	2
2Республика Алтай	Республика Алтай	2
3Республика Башкортостан	Республика Башкортостан	3
3Республика Башкортостан	Республика Башкортостан	3
3Республика Башкортостан	Республика Башкортостан	3
3Республика Башкортостан	Республика Башкортостан	3
3Республика Башкортостан	Республика Башкортостан	3
3Республика Башкортостан	Республика Башкортостан	3
3Республика Башкортостан	Республика Башкортостан	3
3Республика Башкортостан	Республика Башкортостан	3
3Республика Башкортостан	Республика Башкортостан	3
3Республика Башкортостан	Республика Башкортостан	3
3Республика Башкортостан	Республика Башкортостан	3
3Республика Башкортостан	Республика Башкортостан	3
3Республика Башкортостан	Республика Башкортостан	3
3Республика Башкортостан	Республика Башкортостан	3
3Республика Башкортостан	Республика Башкортостан	3
3Республика Башкортостан	Республика Башкортостан	3
3Республика Башкортостан	Республика Башкортостан	3
3Республика Башкортостан	Республика Башкортостан	3
4Республика Бурятия	Республика Бурятия	4
4Республика Бурятия	Республика Бурятия	4
4Республика Бурятия	Республика Бурятия	4
4Республика Бурятия	Республика Бурятия	4
4Республика Бурятия	Республика Бурятия	4
5Республика Дагестан	Республика Дагестан	5
5Республика Дагестан	Республика Дагестан	5
5Республика Дагестан	Республика Дагестан	5
5Республика Дагестан	Республика Дагестан	5
5Республика Дагестан	Республика Дагестан	5
5Республика Дагестан	Республика Дагестан	5
5Республика Дагестан	Республика Дагестан	5
5Республика Дагестан	Республика Дагестан	5
5Республика Дагестан	Республика Дагестан	5
5Республика Дагестан	Республика Дагестан	5
5Республика Дагестан	Республика Дагестан	5
5Республика Дагестан	Республика Дагестан	5
5Республика Дагестан	Республика Дагестан	5
5Республика Дагестан	Республика Дагестан	5
6Республика Ингушетия	Республика Ингушетия	6
6Республика Ингушетия	Республика Ингушетия	6
6Республика Ингушетия	Республика Ингушетия	6
7Кабардино-Балкарская Республика	Кабардино-Балкарская Республика	7
7Кабардино-Балкарская Республика	Кабардино-Балкарская Республика	7
7Кабардино-Балкарская Республика	Кабардино-Балкарская Республика	7
7Кабардино-Балкарская Республика	Кабардино-Балкарская Республика	7
8Республика Калмыкия	Республика Калмыкия	8
8Республика Калмыкия	Республика Калмыкия	8
8Республика Калмыкия	Республика Калмыкия	8
9Карачаево-Черкесская Республика	Карачаево-Черкесская Республика	9
9Карачаево-Черкесская Республика	Карачаево-Черкесская Республика	9
9Карачаево-Черкесская Республика	Карачаево-Черкесская Республика	9
9Карачаево-Черкесская Республика	Карачаево-Черкесская Республика	9
10Республика Карелия	Республика Карелия	10
10Республика Карелия	Республика Карелия	10
10Республика Карелия	Республика Карелия	10
11Республика Коми	Республика Коми	11
11Республика Коми	Республика Коми	11
11Республика Коми	Республика Коми	11
11Республика Коми	Республика Коми	11
12Республика Марий Эл	Республика Марий Эл	12
12Республика Марий Эл	Республика Марий Эл	12
12Республика Марий Эл	Республика Марий Эл	12
12Республика Марий Эл	Республика Марий Эл	12
13Республика Мордовия	Республика Мордовия	13
13Республика Мордовия	Республика Мордовия	13
13Республика Мордовия	Республика Мордовия	13
13Республика Мордовия	Республика Мордовия	13
13Республика Мордовия	Республика Мордовия	13
13Республика Мордовия	Республика Мордовия	13
14Республика Саха (Якутия)	Республика Саха (Якутия)	14
14Республика Саха (Якутия)	Республика Саха (Якутия)	14
14Республика Саха (Якутия)	Республика Саха (Якутия)	14
14Республика Саха (Якутия)	Республика Саха (Якутия)	14
14Республика Саха (Якутия)	Республика Саха (Якутия)	14
15Республика Северная Осетия - Алания	Республика Северная Осетия - Алания	15
15Республика Северная Осетия - Алания	Республика Северная Осетия - Алания	15
15Республика Северная Осетия - Алания	Республика Северная Осетия - Алания	15
15Республика Северная Осетия - Алания	Республика Северная Осетия - Алания	15
16Республика Татарстан (Татарстан)	Республика Татарстан (Татарстан)	16
16Республика Татарстан (Татарстан)	Республика Татарстан (Татарстан)	16
16Республика Татарстан (Татарстан)	Республика Татарстан (Татарстан)	16
16Республика Татарстан (Татарстан)	Республика Татарстан (Татарстан)	16
